t,latitude,longitude,velocity_x_ref,velocity_y_ref,velocity_z_ref,heading,pitch,roll
4668.0,0.9648812502438162,-0.004245716273500484,-7.847601834351082,-36.44879654528469,0.0,0.9803118483628499,0.0004903045205417963,0.08744436761637364
4672.0,0.9648583664320707,-0.00425437079442934,-7.85046577810291,-36.44819115761163,0.0,0.9804086743910687,0.0004918582860588441,0.08744305991656044
4676.0,0.9648354830482652,-0.004263028161251921,-7.853306642134452,-36.447509556304716,0.0,0.980505476153338,0.0004933985990548029,0.08744176255483897
4680.0,0.9648126001398432,-0.004271688348518917,-7.856124581277662,-36.44675238908575,0.0,0.9806022536699079,0.0004949254219476473,0.08744047555847333
4684.0,0.9647897177538408,-0.004280351330956134,-7.858919751560252,-36.44592030523393,0.0,0.9806990069609238,0.0004964387174718504,0.08743919895445368
4688.0,0.9647668359368855,-0.004289017083465781,-7.861692310202664,-36.44501395556908,0.0,0.9807957360464241,0.0004979384486794497,0.08743793276949588
4692.0,0.964743954735195,-0.004297685581127752,-7.864442415614996,-36.44403399243488,0.0,0.9808924409463408,0.0004994245789409772,0.08743667703004077
4696.0,0.9647210741945768,-0.004306356799200905,-7.8671702273939115,-36.442981069682055,0.0,0.9809891216804955,0.0005008970719466416,0.08743543176225362
4700.0,0.9646981943604266,-0.004315030713124342,-7.86987590631948,-36.44185584265152,0.0,0.9810857782685996,0.0005023558917071578,0.087434196992024
4704.0,0.964675315277728,-0.004323707298518676,-7.872559614351992,-36.4406589681575,0.0,0.9811824107302524,0.0005038010025550948,0.08743297274496488
4708.0,0.9646524369910512,-0.004332386531187305,-7.8752215146287385,-36.439391104470616,0.0,0.9812790190849406,0.0005052323691455274,0.08743175904641241
4712.0,0.9646295595445522,-0.004341068387117671,-7.87786177146073,-36.43805291130093,0.0,0.9813756033520358,0.0005066499564572581,0.08743055592142535
4716.0,0.9646066829819719,-0.004349752842482526,-7.8804805503294,-36.43664504978097,0.0,0.9814721635507933,0.0005080537297938427,0.08742936339478456
4720.0,0.9645838073466353,-0.004358439873641183,-7.883078017883246,-36.43516818244869,0.0,0.9815686997003515,0.0005094436547844944,0.08742818149099268
4724.0,0.9645609326814504,-0.004367129457140777,-7.885654341934455,-36.433622973230456,0.0,0.9816652118197298,0.0005108196973849697,0.08742701023427366
4728.0,0.9645380590289077,-0.004375821569717503,-7.888209691455453,-36.432010087423926,0.0,0.9817616999278277,0.000512181823878861,0.08742584964857208
4732.0,0.9645151864310789,-0.004384516188297874,-7.890744236575454,-36.43033019168096,0.0,0.9818581640434231,0.0005135300008782472,0.08742469975755311
4736.0,0.9644923149296166,-0.004393213289999947,-7.893258148576942,-36.428583953990476,0.0,0.9819546041851711,0.0005148641953248887,0.08742356058460171
4740.0,0.9644694445657531,-0.00440191285213457,-7.895751599892127,-36.426772043661266,0.0,0.9820510203716025,0.0005161843744909896,0.08742243215282262
4744.0,0.9644465753802994,-0.0044106148522066145,-7.898224764099343,-36.42489513130481,0.0,0.9821474126211228,0.0005174905059802531,0.08742131448503936
4748.0,0.964423707413645,-0.004419319267916195,-7.900677815919437,-36.422953888818,0.0,0.9822437809520105,0.0005187825577287837,0.08742020760379439
4752.0,0.9644008407057566,-0.004428026077159901,-7.903110931212088,-36.42094898936595,0.0,0.9823401253824157,0.0005200604980061408,0.0874191115313485
4756.0,0.9643779752961773,-0.004436735258032013,-7.905524286972101,-36.41888110736462,0.0,0.9824364459303593,0.0005213242954159775,0.08741802628968029
4760.0,0.9643551112240263,-0.00444544678882572,-7.907918061325668,-36.41675091846355,0.0,0.9825327426137312,0.0005225739188973466,0.08741695190048597
4764.0,0.9643322485279977,-0.004454160648034326,-7.910292433526565,-36.414559099528496,0.0,0.9826290154502891,0.0005238093377252116,0.08741588838517896
4768.0,0.9643093872463598,-0.0044628768143524615,-7.912647583952331,-36.41230632862406,0.0,0.982725264457657,0.000525030521511629,0.0874148357648894
4772.0,0.9642865274169548,-0.004471595266677282,-7.91498369410041,-36.409993284996276,0.0,0.9828214896533238,0.0005262374402065642,0.08741379406046391
4776.0,0.9642636690771971,-0.004480315984109665,-7.9173009465842386,-36.40762064905518,0.0,0.9829176910546429,0.0005274300640986161,0.08741276329246522
4780.0,0.9642408122640737,-0.004489038945955405,-7.919599525129301,-36.405189102357376,0.0,0.9830138686788298,0.00052860836381618,0.08741174348117181
4784.0,0.9642179570141427,-0.004497764131726401,-7.92187961456914,-36.40269932758852,0.0,0.9831100225429609,0.0005297723103281027,0.08741073464657748
4788.0,0.9641951033635331,-0.004506491521141839,-7.9241414008413456,-36.400152008545845,0.0,0.9832061526639725,0.0005309218749445678,0.08740973680839118
4792.0,0.9641722513479436,-0.004515221094129373,-7.9263850709834935,-36.39754783012061,0.0,0.98330225905866,0.0005320570293180148,0.08740874998603662
